EntrezGeneID,control.1,control.2,control.3,control.4,control.5,case.1,case.2,case.3,case.4,case.5
4597,3.134104,3.028072,3.235261,3.094071,2.872575,3.036714,2.899542,2.868523,3.28238,3.028876
4598,4.337329667,3.934955333,4.044593,4.061764,3.959185667,4.199248333,4.194297333,4.625558,4.350776333,4.014196333
4599,9.364437,8.766104,10.876122,6.624498,8.316736,5.947439,10.607046,7.912224,8.947562,9.223201
460,3.355855,3.789154,2.828711,2.815348,3.076951,2.957041,2.70336,2.994832,3.086638,2.632771
4600,4.902681,7.59866,8.862465,5.829881,7.815935,4.837821,8.079522,7.700037,7.078613,7.511836
4601,9.057843,9.027578,9.531092,8.737475,8.680968,8.573113,8.274243,9.530931,10.233323,8.173109
4602,4.548789,3.32348,5.1416005,3.4491405,4.300847,3.433398,4.224824,3.641147,3.467397,5.0217785
4603,5.022618,5.172811,5.78033,4.114675,3.36131,5.04761,5.563848,4.460169,4.794481,4.760661
4604,2.877096,3.267382,3.175853,2.787389,2.908541,2.760223,3.01163,2.921361,2.782567,3.008485
4605,5.770228,5.93922,4.663457,5.256937,6.300967,4.58678,6.171091,5.000373,4.751811,7.069082
4606,3.07201,2.918505,3.176777,2.90697,3.052448,2.902094,3.075935,3.082753,3.203021,2.967117
4607,3.478502,3.615582,3.503117,3.389844,3.520772,3.344174,3.219864,3.38028,3.574392,3.720233
4608,2.957041,3.032414,2.874746,3.172772,3.139749,2.933869,3.025456,3.016582,2.973008,3.137701
4609,7.594531,8.82032,6.938418,7.496246,7.455999,8.881067,8.117387,9.720651,8.955382,8.217578
4610,5.879558,5.157471,5.025529,5.315775,5.600225,4.2770165,5.0392135,4.7496365,5.044363,4.894606
4613,3.861273667,4.202647333,4.075040333,4.471545333,3.410167333,3.424141333,3.67928,3.374509667,4.295586667,4.025441333
4615,8.284192,7.270868,7.147066,7.273621,7.519019,8.040361,8.209437,7.607827,8.560631,7.86912
4616,4.67234425,6.12439125,4.82740425,6.57061175,4.21792625,5.4602985,5.1012175,5.56711375,6.32301025,4.125983
4617,3.067402,2.914795,2.859295,2.859216,2.859361,2.685713,2.967573,2.928818,3.076423,2.908532
4618,2.831257,2.869052,2.717777,2.858737,2.983698,2.715244,2.798985,3.000279,2.780923,2.64444
4619,3.040181,2.728925,3.205003,2.71574,2.740835,2.812935,3.011604,3.009314,2.968618,2.830592
462,2.859855,2.845598,2.730767,2.844768,2.902456,3.046222,3.025041,3.131287,3.11856,3.052485
4620,2.693766,2.831356,3.232903,2.607554,2.656855,2.902612,2.722656,2.961774,3.062841,2.99144
4621,3.032961,2.70021,3.049797,3.236923,2.997915,3.038277,2.939392,2.955026,2.976429,3.09003
4622,2.619493,2.775055,2.788994,2.750818,2.717901,2.738134,2.754447,2.639422,2.96717,2.743502
4624,2.9233715,2.8469305,2.8526605,2.8794215,2.975283,2.884303,2.8373325,3.0420685,3.174941,2.8795165
4625,3.0393285,2.8177435,3.0455255,2.8748095,2.929817,2.7787855,2.8137025,3.1503805,3.051714,2.879671
4626,2.8571115,2.776032,2.759162,2.7763705,6.2371,2.8395975,2.771655,2.7086505,2.8142245,2.930564
4627,5.677577,6.12543,6.402784,6.714309,6.080731,5.706889,5.554624,6.315236,5.663777,4.843695
4628,8.4010155,8.915246,8.2313045,9.740276,7.9696955,7.8382625,8.2662595,8.646703,8.2536265,6.9918145
4629,4.1143825,7.0276385,3.7317875,3.991215,3.6076905,8.098299,5.969392,4.46754825,4.0632835,3.706279
463,3.994321,4.452024,4.543249,4.947421,4.156646,3.750159,3.319402,3.423068,3.622479,3.347319
4632,2.97879,2.807804,2.828346,2.632485,2.861957,2.757755,2.766223,3.213994,2.967393,2.66108
4633,3.182514,2.946569,2.859964,3.119174,3.146665,2.964385,2.731906,3.149359,2.857191,2.824845
4634,3.245531,2.954097,3.146799,3.129824,3.359323,3.122348,3.0177,3.08323,3.169179,3.225607
4635,3.218484,3.19601925,3.3344325,3.1552835,3.31968,3.13012875,3.234848,3.343488,3.33550525,3.24345875
4636,4.417599,3.723377,4.7111,4.045469,4.209926,4.881372,3.919539,3.989922,4.831036,5.513631
4637,8.2886855,7.9052305,8.1347935,7.8628815,8.0790515,7.899781,7.97187,8.0096085,8.4544845,7.7690335
4638,6.737186,9.53431,9.39734,8.023464,9.100404,9.79289,8.356442,7.367566,8.252495,7.320497
4640,3.148422,3.233675,3.050419,2.944687,3.212816,2.9966,3.152195,3.078288,3.077596,3.001928
4641,6.418213,6.9278535,6.6272555,7.51822,7.0077425,6.6940055,7.35515,6.3091395,6.6350915,6.4435695
4642,5.039754,5.887544,4.714531,5.266746,5.232545,4.683742,5.479066,5.013123,4.254833,4.958122
4643,3.962455,4.686632,5.014448,4.892116,3.683664,4.270127,3.854101,4.780747,4.072519,3.493091
4644,3.7423095,4.1083345,4.2016115,3.9998335,4.2896045,4.104292,3.7349515,4.1786405,4.382556,4.4640755
4646,7.194628667,7.015395,7.785554,7.185042667,7.827789333,6.456911667,7.938357333,6.860978667,6.107084333,6.290338
